model,accuracy,precision,recall,f1,latency_ms_per_sample
Random Forest,0.9523894119737076,0.9809204376752626,0.9210594248541484,0.9500479284268826,0.003323089612108261
XGBoost,0.9540897901175037,0.9761904761904762,0.9292684186070526,0.952151717935832,0.0007499682765177373
LightGBM,0.949470852473162,0.9731024719590547,0.9227115493830348,0.9472373128395389,0.001943636271433275
